id,name,type,party
ul,Ursula von der Leyen,1,cdu
lk,Lars Kingbeil,1,spd
nr,Norbert Röttgen,1,cdu
sw,Sara Wagenknecht,1,linke
cs,Constanze Stelzelmüller,2,NA
cl,Christian Lindner,1,fdp
ks,Karl Schlögel,2,NA
lm,Ljudmyla Melnyk,2,NA
kd,Kristina Dunz,2,NA
el,Egils Levits ,2,NA
ab,Annalena Baerbock,1,grüne
ft,Frans Timmermans,2,NA
am,Andrij Melnyk,2,NA
al,Alexander Graf Lambsdorff,1,fdp
er,Egon Ramms,2,NA
rh,Robert Habeck,1,grüne
cm,Claudia Major,2,NA
kp,Katja Petrowskaja,2,NA
rk,Roderich Kiesewetter,1,cdu
cdu,cdu,1,cdu
spd,spd,1,spd
grüne,grüne,1,grüne
linke,linke,1,linke
fdp,fdp,1,fdp
500,Folge 500,NA,NA
501,Folge 501,NA,NA
502,Folge 502,NA,NA
503,Folge 503,NA,NA
